"","(Intercept)","HK31","HK41","HK51","HK61","HK31:HK41","HK31:HK51","HK41:HK51","HK31:HK61","HK41:HK61","HK51:HK61","HK31:HK41:HK51","HK31:HK41:HK61","HK31:HK51:HK61","HK41:HK51:HK61","HK31:HK41:HK51:HK61","trait"
"1",4.50771544922202e-09,0.691875594694671,6.52499460260743e-06,1.39767851077903e-13,7.33263383496037e-07,0.804382398819167,0.0752165207628633,2.04290742577982e-08,0.0771262996612506,0.00252475529512423,5.70316009872652e-12,0.00788383610826369,0.592313279036723,NA,1.40886794524446e-07,NA,"leaf_length"
"2",3.71251971202684e-12,0.00747239790048576,2.48151098377996e-06,4.32827982438632e-13,4.89249796044269e-09,0.390998456673706,0.00279511739371235,6.93452972257488e-08,0.0675712266642267,0.00355549912812133,2.64096438477494e-08,0.00495695191723502,0.584191720989267,NA,0.000879323931090887,NA,"leaf_width"
"3",4.45626858019508e-11,0.176062896693487,2.87900834824384e-06,1.04589991448701e-13,6.89555745788052e-08,0.55197755737794,0.00833497126360549,1.9953966735027e-08,0.864578031452563,0.00474310013361139,9.95421613416484e-10,0.00258377632998971,0.918755832114393,NA,3.11939157704028e-05,NA,"leaf_area"
"4",4.57411258886827e-07,0.569396565084082,0.00838049421273819,4.1482301736665e-11,0.00164487778884833,0.438157094649764,0.0386814824800805,0.00120720437901705,0.0647332866701226,0.0400438726368323,1.55008621990672e-05,0.621140019798538,0.361510180441073,NA,0.00902942395720878,NA,"shoot_mass"
"5",1.86620580291038e-06,0.128079373297435,0.001777023495398,2.05397979918755e-08,7.70940992575455e-05,0.547690572368547,0.141382326210954,0.00442890488090756,0.568874934806892,0.00116205269961432,9.93750646510162e-08,0.884347625819606,0.954869091108222,NA,5.80713035215892e-05,NA,"root_mass"
"6",8.10615809466128e-09,4.74459325537382e-05,2.11099933077798e-06,2.85176070110737e-09,0.00024597036892822,0.00459514118882579,0.000145240099547882,3.79103298414568e-05,0.50722420309327,0.000744321562441206,4.38150791674292e-05,0.017441730725981,0.870658352917856,NA,0.000278363301112715,NA,"tiller_count"
"7",0.000342248846766867,0.0370067134564156,0.0342733855699186,3.87210715422989e-05,0.0187369179814152,0.377449872185699,0.00133139579424014,0.0711198681858783,0.377345366927515,0.167185313392099,0.0886552203119203,0.421015650180399,0.527036905573949,NA,0.442590298290709,NA,"tiller_angle"
"8",1.66815735118954e-15,0.0276072621608828,1.61892067564247e-08,2.53131548125728e-19,5.15962273689995e-10,0.169368022365676,0.0434443040031558,3.18853040705315e-08,0.609105233106624,1.94370412868027e-05,5.05836735074204e-14,0.383879533631074,0.0152423668496103,NA,1.51769533751225e-05,NA,"internode_1"
"9",2.07547881616085e-12,0.254129727548521,1.69381516754541e-06,3.07599855344387e-17,1.65630419537797e-06,0.123018217727134,0.852038146045612,1.12768983149561e-06,0.00284527926126893,0.000749875207669422,7.09318993164432e-10,0.404193102584659,0.425299150347746,NA,0.000115322641238357,NA,"internode_2"
"10",1.28399928532231e-15,0.541316119174023,5.39135173108746e-05,4.89969328432147e-22,2.08394293630704e-08,0.0668259794537481,0.0201677106957636,4.96853958685946e-06,0.0137311534172747,0.0229573129004419,6.18626705194826e-14,0.479092235183459,0.0943739284462796,NA,0.000255351671692359,NA,"plant_height"
"11",4.46264016813013e-09,0.047538522274272,0.0193340388433853,1.19520549949477e-13,4.14675171451898e-12,0.000284665975492172,0.523637079733746,0.000636621219073744,0.229585083004309,0.0148715742974044,7.51710949910397e-18,0.0317811862609691,0.00083395660306597,NA,9.97183293748869e-07,NA,"heading"
