target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	14.9543	1	2.63752
transcript-cox1	1576	1278.8	29	0.894459
transcript-rps2	711	415.055	3	0.285089
transcript-petB	6	1	0	0
transcript-ndhB-2	777	480.608	0	0
transcript-rpl36	114	54.6591	0	0
transcript-rpoC1	2049	1751.8	9	0.202639
transcript-petE	114	54.6591	1	0.721608
transcript-ndhB	777	480.608	0	0
transcript-psbA	1062	764.797	4	0.20629
transcript-psbC	1422	1124.8	9	0.315596
transcript-rps11	432	152.676	0	0
transcript-rps18	492	203.749	0	0
transcript-rps7-2	471	185.351	1	0.212799
transcript-ndhD	1503	1205.8	2	0.0654214
transcript-psaC	246	39.0104	0	0
transcript-atpA	1524	1226.8	7	0.225055
transcript-psbN	132	62.9615	1	0.626453
transcript-ndhE	306	65.7933	0	0
transcript-rpl22	450	167.442	0	0
transcript-rpl20	360	98.511	0	0
transcript-rps15-2	273	49.7056	0	0
transcript-rps8	411	135.754	0	0
transcript-rpl23-2	282	53.7652	1	0.733606
transcript-psbM	105	47.9286	0	0
transcript-psbD	1062	764.797	1	0.0515724
transcript-rps15	273	49.7056	0	0
transcript-psbL	117	56.4222	0	0
transcript-ndhG	531	239.439	6	0.988373
transcript-atpI	744	447.853	3	0.26421
transcript-psbI	111	51.6591	0	0
transcript-psaA	2253	1955.8	2	0.0403339
transcript-rps12	114	54.6591	0	0
transcript-psbH	222	31.3667	2	2.51493
transcript-petD	8	2	0	0
transcript-rps19	282	53.7652	2	1.46721
transcript-rpoB	3228	2930.8	8	0.107663
transcript-psbE	252	41.125	0	0
transcript-rpoC2	4542	4244.8	23	0.213715
transcript-rpoA	1014	716.797	1	0.055026
transcript-infA	324	75.5333	5	2.61093
transcript-rpl23	282	53.7652	1	0.733606
transcript-rp12	391	120.347	1.5	0.491607
transcript-3-prime-rps12	232	34.4883	0	0
transcript-psaB	2205	1907.8	4	0.0826974
transcript-ndhF	2205	1907.8	3	0.062023
transcript-rpl14	372	106.665	0	0
transcript-rpl16	9	3	0	0
transcript-atpF	145	50.5125	0	0
transcript-rps14	312	69.0452	0	0
transcript-ndhA	550	257.416	0	0
transcript-psbB	1527	1229.8	3	0.096217
transcript-psbK	186	21.0088	0.5	0.938714
transcript-atpH	246	39.0104	0	0
transcript-petA	963	665.911	1	0.0592308
transcript-rps7	471	185.351	1	0.212799
transcript-rps3	720	423.97	0	0
transcript-psbF	120	56.9787	0	0
transcript-rpl2	391	120.347	1.5	0.491607
transcript-rps16	40	22.7273	3	5.2064
transcript-nad6	618	323.123	4	0.488265
transcript-orf490	1473	1175.8	0	0
transcript-orf224	675	379.318	7.3882	0.768244
transcript-rps13	351	92.4187	3	1.28034
transcript-rpl2-2	840	543.351	5	0.362956
transcript-orf165	498	209.083	3	0.565935
transcript-atp9	225	32.305	187	228.316
transcript-rps7-3	447	164.903	2	0.478373
transcript-cox2	388	118.122	3	1.00174
transcript-orf181	546	253.597	0	0
transcript-atp1	1530	1232.8	36	1.15179
transcript-nad9	573	279.357	5	0.705949
transcript-orfB	468	182.813	5.6118	1.21076
transcript-atp6	1005	707.797	26	1.44887
transcript-rps1	519	228.307	0	0
transcript-nad3	468	182.813	2	0.431505
transcript-orf161	486	198.512	2	0.397382
transcript-ccmB	621	326.069	2	0.241927
transcript-nad4L	303	64.1959	0	0
transcript-nad4	461	176.777	1	0.22312
transcript-orf258	777	480.608	1	0.0820678
transcript-orf173	522	231.166	41	6.99558
transcript-orf152b	459	175.074	0	0
transcript-orf288	867	570.239	2	0.138337
transcript-orfX	810	513.457	4	0.30727
transcript-orf153	462	177.609	1	0.222074
transcript-rps4	1059	761.797	1	0.0517755
transcript-orf176	531	239.439	1	0.164729
transcript-rps19-2	282	53.7652	1	0.733606
transcript-ccmFc	749	452.793	5	0.435546
transcript-cox3	843	546.351	8	0.577541
transcript-ccmFn	1785	1487.8	2	0.0530213
transcript-orf160	483	195.887	0	0
transcript-orf183	552	259.337	4	0.608358
transcript-nad1	386	116.688	3	1.01405
transcript-ccmC	723	426.97	5	0.461888
transcript-rpl5	567	273.627	17	2.45049
transcript-orf194	585	290.984	0	0
transcript-orf25	594	299.767	16	2.10524
transcript-orf241	726	429.956	10	0.91736
transcript-cob	1194	896.797	5	0.219907
transcript-orf152a	459	175.074	1	0.22529
transcript-nad5	231	34.1161	3	3.46838
transcript-orf162	489	201.14	0	0
transcript-orf187	564	270.81	4	0.582584
transcript-rps12-2	378	110.861	5	1.77892
transcript-rps2-2	1452	1154.8	16	0.546485
transcript-nad7	143	62.8871	7	4.39036
transcript-orf284	855	558.296	3	0.211944
transcript-mat-r	2037	1739.8	11	0.249378
transcript-rps3-2	74	37.1154	0	0
Os09t0508300-01	2067	1769.8	2307	51.4148
Os03t0181550-00	1473	1175.8	114.333	3.83532
Os07t0593000-01	770	473.608	80	6.66247
Os04t0597700-01	1914	1616.8	0	0
Os06t0608300-02	2055	1757.8	1256.49	28.1939
Os06t0608300-01	3519	3221.8	882.372	10.8023
Os04t0618100-01	619	324.091	30	3.65106
Os06t0225600-01	889	592.142	13	0.865927
Os01t0873800-01	4471	4173.8	210	1.9845
Os06t0237950-00	761	464.655	65.4968	5.55973
Os12t0149700-01	1544	1246.8	265	8.38328
Os12t0141800-01	2251	1953.8	0	0
Os06t0492750-00	1481	1183.8	38.2407	1.27413
Os07t0544900-01	1121	823.797	1045	50.0334
Os06t0662225-00	592	297.777	0	0
Os12t0510900-01	488	200.257	63	12.4084
Os03t0782300-01	1146	848.797	0	0
Os09t0427100-01	1358	1060.8	51	1.89628
Os05t0167600-01	1417	1119.8	39	1.37369
Os04t0452100-02	2884	2586.8	40.8068	0.622205
Os04t0452100-01	4628	4330.8	10.1932	0.0928342
Os08t0248000-00	609	314.315	1	0.125487
Os08t0471850-00	1168	870.797	0	0
Os07t0176600-01	2209	1911.8	3	0.0618933
Os06t0230801-00	641	345.765	35.9762	4.10391
Os01t0734100-01	842	545.351	472	34.1374
Os02t0607500-00	1746	1448.8	11	0.299467
Os01t0563000-01	1666	1368.8	0	0
Os01t0563000-04	2165	1867.8	1.50534	0.0317885
Os01t0563000-03	924	627.019	0.494656	0.0311162
Os01t0563000-05	1160	862.797	0	0
Os01t0563000-02	2287	1989.8	0	0
Os01t0563000-06	828	531.387	0	0
Os01t0973300-01	2914	2616.8	290	4.37111
Os01t0889800-01	1312	1014.8	77	2.99278
Os06t0635500-00	1034	736.797	0	0
Os06t0303501-00	568	274.544	0	0
Os08t0260400-00	1139	841.797	734	34.3916
Os03t0729000-01	1981	1683.8	17	0.39822
Os08t0538600-01	1718	1420.8	10555	293.015
Os10t0534700-01	2121	1823.8	0	0
Os12t0248600-01	579	285.159	2	0.276635
Os04t0659200-01	2487	2189.8	77	1.38692
Os09t0465800-01	747	450.823	934	81.7155
Os12t0128900-00	534	242.243	0	0
Os05t0433900-00	729	432.927	1	0.0911064
Os04t0569300-02	1273	975.797	2.95965e-005	1.19631e-006
Os04t0569300-01	1341	1043.8	107	4.04326
Os05t0400800-01	1311	1013.8	494.647	19.2446
Os05t0400800-02	820	523.44	434.353	32.7296
Os03t0226800-01	3558	3260.8	5	0.0604798
Os01t0878400-01	1760	1462.8	242.691	6.54385
Os08t0359050-00	606	311.357	3	0.380037
Os01t0544450-01	2811	2513.8	1201	18.8442
Os08t0549450-00	466	181.094	2.10217	0.457856
Os02t0749900-01	1389	1091.8	554	20.0139
Os04t0570125-00	1358	1060.8	0	0
Os06t0528600-01	1591	1293.8	78	2.37789
Os02t0832400-01	2632	2334.8	0	0
Os02t0832400-02	2960	2662.8	465.83	6.90007
Os08t0162900-00	314	70.132	0	0
Os01t0810300-01	789	492.559	72	5.76552
Os12t0124000-05	925	628.019	8.95029	0.562119
Os12t0124000-01	937	639.998	4.81716	0.296877
Os12t0124000-03	1024	726.797	0	0
Os12t0124000-02	996	698.797	0	0
Os12t0124000-04	968	670.911	0	0
Os08t0265500-01	3643	3345.8	443	5.22237
Os04t0525900-01	1880	1582.8	1502	37.429
Os09t0351800-00	627	331.992	0	0
Os05t0533450-00	978	680.889	11	0.637207
Os06t0488125-00	1855	1557.8	0	0
Os06t0520733-00	375	108.741	0	0
Os06t0102600-01	898	601.102	16.7023	1.09595
Os06t0707400-02	2025	1727.8	11	0.25111
Os06t0707400-01	2693	2395.8	0	0
Os07t0546200-01	687	391.202	0	0
Os03t0744650-00	1565	1267.8	727	22.6177
Os12t0190000-01	2086	1788.8	5260.51	115.993
Os12t0190000-02	1292	994.797	1454.49	57.6689
Os06t0141133-00	1399	1101.8	0	0
Os01t0855700-01	2125	1827.8	13.4506	0.290253
Os08t0543500-01	3880	3582.8	16	0.176141
Os08t0485600-04	1933	1635.8	76.9627	1.85573
Os08t0485600-03	1157	859.797	19.7894	0.907821
Os08t0485600-01	3970	3672.8	233.017	2.50239
Os08t0485600-02	2676	2378.8	382.231	6.3377
Os02t0298100-01	3630	3332.8	299	3.53856
Os01t0932500-01	2410	2112.8	0	0
Os09t0494200-01	1648	1350.8	165.157	4.82248
Os09t0494200-02	1453	1155.8	373.843	12.7577
Os01t0923000-01	735	438.913	925	83.1242
Os09t0347900-01	1691	1393.8	30	0.848957
Os02t0671400-02	460	175.92	10	2.24207
Os02t0671400-03	499	209.932	3.02268	0.567908
Os02t0671400-01	3869	3571.8	151.977	1.67825
Os12t0568500-01	506	216.277	0	0
Os09t0521100-01	1492	1194.8	5	0.165059
Os05t0592350-00	553	260.258	1.83754	0.278481
Os12t0637000-00	1389	1091.8	45	1.62568
Os06t0225100-01	1698	1400.8	129	3.63227
Os07t0432100-00	315	70.6075	0	0
Os06t0522100-00	399	126.332	0	0
Os03t0142900-01	2129	1831.8	1198	25.7955
Os06t0571800-01	983	685.866	0	0
Os06t0571800-03	1782	1484.8	59	1.56729
Os06t0571800-02	1633	1335.8	0	0
Os04t0127800-01	3214	2916.8	125	1.69032
Os02t0119400-01	1049	751.797	688	36.0954
Os06t0251700-01	2760	2462.8	1699	27.2101
Os03t0744200-01	979	681.889	181.225	10.4826
Os04t0632750-00	2140	1842.8	0	0
Os09t0482100-01	2409	2111.8	43369.4	810.018
Os10t0108700-01	1504	1206.8	0	0
Os10t0108700-02	1448	1150.8	0	0
Os05t0127200-01	2374	2076.8	0	0
Os05t0127200-02	2217	1919.8	36	0.739624
Os11t0594700-00	498	209.083	24	4.52748
Os07t0120300-00	429	150.153	61	16.0236
Os04t0121300-00	2190	1892.8	0	0
Os06t0731800-01	1301	1003.8	2732.23	107.358
Os04t0615500-01	2440	2142.8	241	4.43609
Os01t0606200-00	288	56.5078	3	2.094
Os01t0647700-01	2521	2223.8	367	6.50931
Os04t0280251-00	3147	2849.8	0	0
Os05t0451100-01	2070	1772.8	1526.35	33.9593
Os04t0516200-01	986	688.866	0	0
Os03t0799300-01	671	375.406	0	0
Os08t0556300-01	809	512.491	22	1.69317
Os02t0128800-03	937	639.998	8.76357	0.54009
Os02t0128800-01	1375	1077.8	377.435	13.8124
Os02t0128800-02	1337	1039.8	703.801	26.6972
Os06t0298700-00	1158	860.797	0	0
Os04t0572100-01	1879	1581.8	6	0.149611
Os10t0558400-00	1194	896.797	0	0
Os01t0816400-01	1379	1081.8	1.23346	0.0449719
Os01t0816400-02	6579	6281.8	2876.77	18.0628
Os09t0569700-01	1502	1204.8	66	2.1607
Os01t0848475-00	1973	1675.8	26.1286	0.614976
Os04t0481050-01	2877	2579.8	15.1975	0.232354
Os01t0688200-01	1296	998.797	279	11.0177
Os08t0324600-00	825	528.422	30	2.23926
Os05t0237100-01	997	699.797	124	6.98897
Os04t0613500-00	315	70.6075	0	0
Os02t0177800-02	2273	1975.8	1126	22.4781
Os02t0177800-01	1378	1080.8	0	0
Os02t0571300-01	2887	2589.8	0	0
Os09t0524300-00	1961	1663.8	0	0
Os06t0176000-01	1077	779.797	171.912	8.69535
Os09t0409000-01	977	679.889	7	0.406092
Os02t0106966-00	847	550.314	77	5.51879
Os12t0180600-00	1983	1685.8	1	0.0233969
Os04t0510200-01	1515	1217.8	403	13.0525
Os01t0596600-00	1188	890.797	0	0
Os12t0534200-01	823	526.44	320	23.9754
Os11t0596000-00	6336	6038.8	0.657236	0.00429274
Os12t0609600-01	1092	794.797	0	0
Os02t0698100-01	1484	1186.8	118	3.92166
Os03t0780600-02	397	124.886	65.6922	20.7474
Os03t0780600-01	1738	1440.8	2160.65	59.1488
Os02t0208675-00	1209	911.797	249	10.7712
Os05t0465400-01	1096	798.797	2	0.0987546
Os11t0528300-01	835	538.369	913	66.889
Os03t0793950-00	474	188.039	0.0169363	0.00355251
Os10t0567900-01	1813	1515.8	58.9086	1.53286
Os06t0472700-02	1629	1331.8	367.967	10.8977
Os06t0472700-01	1717	1419.8	726.033	20.1694
Os10t0351200-00	1610	1312.8	0	0
Os01t0646700-03	539	247.011	24.5703	3.92336
Os01t0646700-02	1622	1324.8	119.509	3.55807
Os01t0646700-01	2881	2583.8	679.357	10.3706
Os03t0626800-01	1492	1194.8	685.011	22.6135
Os03t0626800-02	1391	1093.8	1.98918	0.0717299
Os04t0403400-01	3288	2990.8	143	1.88588
Os10t0410600-02	1225	927.797	1021.72	43.4352
Os10t0410600-01	566	272.682	57.2816	8.28556
Os09t0306800-01	2320	2022.8	510	9.94447
Os03t0818000-00	1224	926.797	513	21.8322
Os04t0578800-02	1742	1444.8	308.139	8.41208
Os04t0578800-01	2284	1986.8	1088.71	21.6133
Os05t0447500-00	1944	1646.8	585	14.0113
Os11t0702700-02	1867	1569.8	136.291	3.42443
Os11t0702700-01	1911	1613.8	146.709	3.58568
Os12t0165700-01	1642	1344.8	1046.83	30.703
Os03t0575200-01	2904	2606.8	521	7.88305
Os04t0348400-01	1770	1472.8	267	7.15043
Os02t0694800-01	1565	1267.8	39	1.21333
Os01t0633900-01	1252	954.797	26	1.07405
Os04t0581000-01	1361	1063.8	67	2.48416
Os07t0495200-01	933	635.998	3921.87	243.221
Os01t0852100-01	2122	1824.8	5.39989	0.116717
Os01t0127200-01	2288	1990.8	2	0.0396248
Os01t0604000-01	1388	1090.8	0	0
Os02t0744650-00	1206	908.797	169.983	7.37738
Os09t0455900-01	1083	785.797	0	0
Os04t0521900-01	776	479.608	10	0.82239
Os01t0510500-01	2012	1714.8	494	11.3626
Os05t0214100-01	892	595.142	65.589	4.34684
Os05t0214100-02	3242	2944.8	442.411	5.92563
Os06t0529800-01	1678	1380.8	1202	34.3351
Os04t0502200-01	3810	3512.8	1489	16.7188
Os05t0445100-02	894	597.122	56.9546	3.7621
Os05t0445100-01	2396	2098.8	0	0
Os06t0598900-02	347	89.824	0	0
Os06t0598900-01	1806	1508.8	4386	114.657
Os08t0481100-01	1773	1475.8	27	0.721607
Os09t0508200-01	1088	790.797	8.55612	0.426752
Os01t0116900-00	1548	1250.8	19	0.599143
Os06t0332450-00	1286	988.797	3.15733	0.125944
Os03t0765100-01	813	516.457	276	21.0785
Os06t0134400-01	1528	1230.8	336.529	10.7845
Os01t0934900-00	792	495.559	18	1.43265
Os07t0656100-01	2329	2031.8	223	4.32901
Os04t0692200-01	1119	821.797	258	12.3828
Os04t0692200-02	321	73.913	5	2.66817
Os11t0552600-01	1330	1032.8	474	18.102
Os05t0503100-00	1066	768.797	170	8.7217
Os01t0823951-00	352	93.1304	0	0
Os01t0661000-01	1606	1308.8	653	19.6791
Os01t0661000-02	1364	1066.8	0	0
Os01t0382200-01	1445	1147.8	0	0
Os09t0474800-01	2832	2534.8	1120.65	17.4378
Os09t0474800-02	3383	3085.8	4.35028	0.055605
Os08t0384100-01	1468	1170.8	1237	41.6727
Os01t0362533-01	621	326.069	192	23.225
Os12t0230200-01	3544	3246.8	21.9137	0.26621
Os12t0230200-02	2385	2087.8	23.2221	0.438709
Os03t0341000-01	1164	866.797	140	6.37051
Os09t0423400-01	2223	1925.8	106	2.171
Os09t0423400-02	1904	1606.8	0	0
