target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	14.5774	7	18.7345
transcript-cox1	1576	1298.67	55	1.6523
transcript-rps2	711	434.502	4	0.359164
transcript-petB	6	2	0	0
transcript-ndhB-2	777	500.292	0	0
transcript-rpl36	114	48.8723	0	0
transcript-rpoC1	2049	1771.67	10	0.220213
transcript-petE	114	48.8723	1	0.798291
transcript-ndhB	777	500.292	0	0
transcript-psbA	1062	784.665	0	0
transcript-psbC	1422	1144.67	3	0.102251
transcript-rps11	432	167.6	0	0
transcript-rps18	492	221.513	2	0.352253
transcript-rps7-2	471	202.36	0	0
transcript-ndhD	1503	1225.67	4	0.127325
transcript-psaC	246	38.9248	0	0
transcript-atpA	1524	1246.67	24	0.751079
transcript-psbN	132	52.4603	0	0
transcript-ndhE	306	70.8584	0	0
transcript-rpl22	450	183.553	0	0
transcript-rpl20	360	108.633	1	0.359139
transcript-rps15-2	273	51.7741	0.5	0.376775
transcript-rps8	411	149.569	1	0.260845
transcript-rpl23-2	282	56.7828	0.5	0.34354
transcript-psbM	105	40.8043	0	0
transcript-psbD	1062	784.665	0	0
transcript-rps15	273	51.7741	0.5	0.376775
transcript-psbL	117	48.9	0	0
transcript-ndhG	531	258.036	2	0.302394
transcript-atpI	744	467.34	3	0.250445
transcript-psbI	111	45.8723	0	0
transcript-psaA	2253	1975.67	3	0.0592424
transcript-rps12	114	48.8723	1	0.798291
transcript-psbH	222	29.8635	1	1.30642
transcript-petD	8	4	0	0
transcript-rps19	282	56.7828	4	2.74832
transcript-rpoB	3228	2950.67	14	0.185111
transcript-psbE	252	41.5067	0	0
transcript-rpoC2	4542	4264.67	15	0.137224
transcript-rpoA	1014	736.665	0	0
transcript-infA	324	82.7626	3	1.4142
transcript-rpl23	282	56.7828	0.5	0.34354
transcript-rp12	391	133.217	3	0.878592
transcript-3-prime-rps12	232	33.5349	0	0
transcript-psaB	2205	1927.67	7	0.141674
transcript-ndhF	2205	1927.67	1	0.0202392
transcript-rpl14	372	118.017	1	0.330584
transcript-rpl16	9	5	0	0
transcript-atpF	145	39.3796	0	0
transcript-rps14	312	74.7631	0	0
transcript-ndhA	550	276.319	0	0
transcript-psbB	1527	1249.67	4	0.124879
transcript-psbK	186	19.4361	0	0
transcript-atpH	246	38.9248	1	1.0023
transcript-petA	963	685.712	4	0.227584
transcript-rps7	471	202.36	0	0
transcript-rps3	720	443.4	0	0
transcript-psbF	120	49.9808	0	0
transcript-rpl2	391	133.217	3	0.878592
transcript-rps16	40	11.7778	1	3.31254
transcript-nad6	618	342.411	6	0.68364
transcript-orf490	1473	1195.67	0	0
transcript-orf224	675	398.724	10.3759	1.01526
