target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	15.6365	0	0
transcript-cox1	1576	1279.47	36	1.12028
transcript-rps2	711	415.561	1	0.0958119
transcript-petB	6	4	0	0
transcript-ndhB-2	777	481.29	0	0
transcript-rpl36	114	54.0577	0	0
transcript-rpoC1	2049	1752.47	10	0.227197
transcript-petE	114	54.0577	0	0
transcript-ndhB	777	481.29	0	0
transcript-psbA	1062	765.475	1	0.0520144
transcript-psbC	1422	1125.47	6	0.212261
transcript-rps11	432	152.31	1	0.261413
transcript-rps18	492	204.368	0	0
transcript-rps7-2	471	185.634	2	0.42897
transcript-ndhD	1503	1206.47	7	0.231012
transcript-psaC	246	40.3718	0	0
transcript-atpA	1524	1227.47	4	0.129748
transcript-psbN	132	60.0156	0	0
transcript-ndhE	306	65.8438	0	0
transcript-rpl22	450	167.65	1	0.237493
transcript-rpl20	360	98.1872	1	0.405508
transcript-rps15-2	273	50.4946	0	0
transcript-rps8	411	135.519	2	0.587603
transcript-rpl23-2	282	54.278	0	0
transcript-psbM	105	48.9583	0	0
transcript-psbD	1062	765.475	1	0.0520144
transcript-rps15	273	50.4946	0	0
transcript-psbL	117	56	0	0
transcript-ndhG	531	240.011	2	0.331782
transcript-atpI	744	448.432	2	0.177577
transcript-psbI	111	51.0577	1	0.779818
transcript-psaA	2253	1956.47	4	0.0814029
transcript-rps12	114	54.0577	0	0
transcript-psbH	222	32.024	0	0
transcript-petD	8	4.66667	0	0
transcript-rps19	282	54.278	1	0.733551
transcript-rpoB	3228	2931.47	8	0.108657
transcript-psbE	252	42.4764	0	0
transcript-rpoC2	4542	4245.47	23	0.215703
transcript-rpoA	1014	717.475	0	0
transcript-infA	324	75.5948	2	1.0534
transcript-rpl23	282	54.278	0	0
transcript-rp12	391	120.213	1	0.331209
transcript-3-prime-rps12	232	35.5623	0	0
transcript-psaB	2205	1908.47	3	0.0625877
transcript-ndhF	2205	1908.47	1	0.0208626
transcript-rpl14	372	106.358	1	0.374357
transcript-rpl16	9	4.5	0	0
transcript-atpF	145	47.75	0	0
transcript-rps14	312	69.1505	0	0
transcript-ndhA	550	258.06	2	0.308577
transcript-psbB	1527	1230.47	2	0.064716
transcript-psbK	186	21.3686	1	1.86328
transcript-atpH	246	40.3718	1	0.986225
transcript-petA	963	666.635	2	0.119453
transcript-rps7	471	185.634	2	0.42897
transcript-rps3	720	424.491	0	0
transcript-psbF	120	59	0	0
transcript-rpl2	391	120.213	1	0.331209
transcript-rps16	40	24.8571	0	0
transcript-nad6	618	323.572	4	0.492203
transcript-orf490	1473	1176.47	0	0
transcript-orf224	675	379.749	5	0.524237
