target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	10.6651	3	12.3466
transcript-cox1	1576	1306.43	29	0.974323
transcript-rps2	711	442.263	5	0.496228
transcript-petB	6	4	0	0
transcript-ndhB-2	777	508.097	1	0.0863863
transcript-rpl36	114	49.6571	0	0
transcript-rpoC1	2049	1779.43	17	0.419333
transcript-petE	114	49.6571	0	0
transcript-ndhB	777	508.097	1	0.0863863
transcript-psbA	1062	792.432	0	0
transcript-psbC	1422	1152.43	11	0.418957
transcript-rps11	432	174.463	1	0.251587
transcript-rps18	492	227.57	0	0
transcript-rps7-2	471	208.477	0.5	0.10527
transcript-ndhD	1503	1233.43	5	0.177929
transcript-psaC	246	43.3513	0	0
transcript-atpA	1524	1254.43	11	0.384891
transcript-psbN	132	50.28	0	0
transcript-ndhE	306	78.4606	0	0
transcript-rpl22	450	189.906	0	0
transcript-rpl20	360	116.839	0	0
transcript-rps15-2	273	57.8909	0	0
transcript-rps8	411	156.807	1	0.279915
transcript-rpl23-2	282	63.2335	1	0.694136
transcript-psbM	105	49.4138	0	0
transcript-psbD	1062	792.432	3	0.166169
transcript-rps15	273	57.8909	0	0
transcript-psbL	117	51.2222	0	0
transcript-ndhG	531	264.402	1	0.166007
transcript-atpI	744	475.17	4	0.36949
transcript-psbI	111	46.6571	0	0
transcript-psaA	2253	1983.43	0	0
transcript-rps12	114	49.6571	0	0
transcript-psbH	222	32.3006	0	0
transcript-petD	8	4.66667	0	0
transcript-rps19	282	63.2335	1	0.694136
transcript-rpoB	3228	2958.43	17	0.25222
transcript-psbE	252	46.473	0	0
transcript-rpoC2	4542	4272.43	14	0.143828
transcript-rpoA	1014	744.432	3	0.176884
transcript-infA	324	90.8046	7	3.38363
transcript-rpl23	282	63.2335	1	0.694136
transcript-rp12	391	140.478	1	0.312451
transcript-3-prime-rps12	232	36.6886	0	0
transcript-psaB	2205	1935.43	5	0.113392
transcript-ndhF	2205	1935.43	1	0.0226785
transcript-rpl14	372	125.835	1	0.348811
transcript-rpl16	9	4.5	0	0
transcript-atpF	145	28	2	3.13519
transcript-rps14	312	82.4485	0	0
transcript-ndhA	550	282.669	4	0.621118
transcript-psbB	1527	1257.43	0	0
transcript-psbK	186	18.5795	0	0
transcript-atpH	246	43.3513	1	1.01249
transcript-petA	963	693.592	3	0.189849
transcript-rps7	471	208.477	0.5	0.10527
transcript-rps3	720	451.24	0	0
transcript-psbF	120	49.05	0	0
transcript-rpl2	391	140.478	1	0.312451
transcript-rps16	40	19.2727	1	2.27745
transcript-nad6	618	349.641	5	0.627682
transcript-orf490	1473	1203.43	1	0.0364729
transcript-orf224	675	406.38	8	0.864071
transcript-rps13	351	110.132	3	1.19564
transcript-rpl2-2	840	570.925	5	0.3844
transcript-orf165	498	233.027	2	0.376717
transcript-atp9	225	33.5527	83	108.578
transcript-rps7-3	447	187.243	1	0.234415
transcript-cox2	388	138.173	4	1.27066
transcript-orf181	546	278.789	0	0
transcript-atp1	1530	1260.43	31	1.07953
transcript-nad9	573	305.141	5	0.719219
transcript-orfB	468	205.795	9	1.91955
transcript-atp6	1005	735.432	17	1.01461
transcript-rps1	519	252.969	2	0.34702
transcript-nad3	468	205.795	5	1.06642
transcript-orf161	486	222.061	0	0
transcript-ccmB	621	352.632	4	0.497886
transcript-nad4L	303	76.5286	1	0.573546
transcript-nad4	461	199.582	4	0.879693
transcript-orf258	777	508.097	0	0
transcript-orf173	522	255.828	33	5.66185
transcript-orf152b	459	197.797	2	0.443816
transcript-orf288	867	597.866	0	0
transcript-orfX	810	540.981	3	0.243406
transcript-orf153	462	200.463	0	0
transcript-rps4	1059	789.432	4	0.222401
transcript-orf176	531	264.402	0	0
transcript-rps19-2	282	63.2335	2	1.38827
transcript-ccmFc	749	480.147	5	0.457076
transcript-cox3	843	573.925	2	0.152956
transcript-ccmFn	1785	1515.43	6	0.173783
transcript-orf160	483	219.343	3	0.60033
transcript-orf183	552	284.598	3	0.462681
transcript-nad1	386	136.61	5	1.60649
transcript-ccmC	723	454.229	4	0.386525
transcript-rpl5	567	299.24	18	2.64025
transcript-orf194	585	316.939	1	0.138489
transcript-orf25	594	325.827	5	0.673558
transcript-orf241	726	457.229	8	0.767977
transcript-cob	1194	924.432	4	0.189923
transcript-orf152a	459	197.797	0	0
transcript-nad5	231	36.2683	2	2.42044
transcript-orf162	489	224.84	1	0.195217
transcript-orf187	564	296.292	6	0.88884
transcript-rps12-2	378	130.263	2	0.67391
transcript-rps2-2	1452	1182.43	16	0.593931
transcript-nad7	143	45.942	5	4.77696
transcript-orf284	855	585.896	1	0.0749155
transcript-mat-r	2037	1767.43	7	0.173839
transcript-rps3-2	74	38.6316	0	0
Os09t0508300-01	2067	1797.43	2044	49.9138
Os03t0181550-00	1473	1203.43	104.163	3.79913
Os07t0593000-01	770	501.097	93	8.14616
Os04t0597700-01	1914	1644.43	10.0929	0.269398
Os06t0608300-02	2055	1785.43	1043.93	25.6636
Os06t0608300-01	3519	3249.43	1091.91	14.7493
Os04t0618100-01	619	350.641	22	2.75392
Os06t0225600-01	889	619.79	15	1.06228
Os01t0873800-01	4471	4201.43	300	3.13412
Os06t0237950-00	761	492.122	133.779	11.9318
Os12t0149700-01	1544	1274.43	284.445	9.79658
Os12t0141800-01	2251	1981.43	0	0
Os06t0492750-00	1481	1211.43	95.5746	3.46286
Os07t0544900-01	1121	851.432	1125	57.9955
Os06t0662225-00	592	323.859	0	0
Os12t0510900-01	488	223.903	25	4.90087
Os03t0782300-01	1146	876.432	0	0
Os09t0427100-01	1358	1088.43	68	2.7422
Os05t0167600-01	1417	1147.43	26	0.994577
Os04t0452100-02	2884	2614.43	36.7722	0.617353
Os04t0452100-01	4628	4358.43	6.22784	0.062719
Os08t0248000-00	609	340.719	2	0.257648
Os08t0471850-00	1168	898.432	0	0
Os07t0176600-01	2209	1939.43	0	0
Os06t0230801-00	641	372.524	49	5.77343
