target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	15.2734	3	7.67782
transcript-cox1	1576	1268.49	48	1.47914
transcript-rps2	711	404.9	10	0.965397
transcript-petB	6	2	0	0
transcript-ndhB-2	777	470.433	0	0
transcript-rpl36	114	42.3333	0	0
transcript-rpoC1	2049	1741.49	15	0.336686
transcript-petE	114	42.3333	1	0.92336
transcript-ndhB	777	470.433	0	0
transcript-psbA	1062	754.485	6	0.310852
transcript-psbC	1422	1114.49	6	0.210441
transcript-rps11	432	143.216	0	0
transcript-rps18	492	194.138	0	0
transcript-rps7-2	471	175.747	0.5	0.111208
transcript-ndhD	1503	1195.49	6	0.196183
transcript-psaC	246	37.697	0	0
transcript-atpA	1524	1216.49	15	0.48199
transcript-psbN	132	51.0508	0	0
transcript-ndhE	306	61.0494	0	0
transcript-rpl22	450	158.099	1	0.247244
transcript-rpl20	360	91.3743	1	0.427789
transcript-rps15-2	273	47.0201	0	0
transcript-rps8	411	127.031	2	0.615422
transcript-rpl23-2	282	50.4119	0	0
transcript-psbM	105	39.5854	0	0
transcript-psbD	1062	754.485	3	0.155426
transcript-rps15	273	47.0201	0	0
transcript-psbL	117	42.8235	0	0
transcript-ndhG	531	229.751	5	0.85068
transcript-atpI	744	437.647	0	0
transcript-psbI	111	40.1702	3	2.91924
transcript-psaA	2253	1945.49	2	0.0401842
transcript-rps12	114	42.3333	0	0
transcript-psbH	222	30.577	0	0
transcript-petD	8	3	0	0
transcript-rps19	282	50.4119	2	1.55078
transcript-rpoB	3228	2920.49	20	0.267688
transcript-psbE	252	39.5547	0	0
transcript-rpoC2	4542	4234.49	17	0.156928
transcript-rpoA	1014	706.485	1	0.0553287
transcript-infA	324	70.2915	2	1.11219
transcript-rpl23	282	50.4119	0	0
transcript-rp12	391	112.311	0	0
transcript-3-prime-rps12	232	33.4125	3	3.50967
transcript-psaB	2205	1897.49	15	0.309006
transcript-ndhF	2205	1897.49	1	0.0206004
transcript-rpl14	372	99.1578	0	0
transcript-rpl16	9	4	0	0
transcript-atpF	145	39.07	1	1.00048
transcript-rps14	312	64.1942	0	0
transcript-ndhA	550	247.625	1	0.157855
transcript-psbB	1527	1219.49	2	0.0641072
transcript-psbK	186	20.2207	0	0
transcript-atpH	246	37.697	2	2.07385
transcript-petA	963	655.637	3	0.178859
transcript-rps7	471	175.747	0.5	0.111208
transcript-rps3	720	413.828	0	0
transcript-psbF	120	45	0	0
transcript-rpl2	391	112.311	0	0
transcript-rps16	40	19.3333	0	0
transcript-nad6	618	313.109	8	0.99873
transcript-orf490	1473	1165.49	0	0
transcript-orf224	675	369.169	9	0.95295
transcript-rps13	351	85.725	1	0.45598
transcript-rpl2-2	840	533.158	3	0.219948
transcript-orf165	498	199.417	2	0.392032
transcript-atp9	225	31.5458	101	125.151
transcript-rps7-3	447	155.59	2	0.50246
transcript-cox2	388	110.312	5	1.77175
transcript-orf181	546	243.843	0	0
transcript-atp1	1530	1222.49	47	1.50282
transcript-nad9	573	269.514	12	1.74042
transcript-orfB	468	173.177	6	1.3543
transcript-atp6	1005	697.485	19	1.06481
transcript-rps1	519	218.625	0	0
transcript-nad3	468	173.177	0	0
transcript-orf161	486	188.822	0	0
transcript-ccmB	621	316.038	2	0.247369
transcript-nad4L	303	59.7459	1	0.654252
transcript-nad4	461	167.147	1	0.23386
transcript-orf258	777	470.433	0	0
transcript-orf173	522	221.412	42	7.41484
transcript-orf152b	459	165.503	1	0.236182
transcript-orf288	867	560.102	1	0.0697889
transcript-orfX	810	503.3	5	0.388326
transcript-orf153	462	167.987	0	0
transcript-rps4	1059	751.485	0	0
transcript-orf176	531	229.751	0	0
transcript-rps19-2	282	50.4119	1	0.775391
transcript-ccmFc	749	442.581	4	0.353281
transcript-cox3	843	536.158	8	0.583245
transcript-ccmFn	1785	1477.49	3	0.0793691
transcript-orf160	483	186.212	1	0.209916
transcript-orf183	552	249.518	8	1.25326
transcript-nad1	386	108.902	4	1.43575
transcript-ccmC	723	416.797	4	0.375136
transcript-rpl5	567	263.824	30	4.44489
transcript-orf194	585	281.077	1	0.139068
transcript-orf25	594	289.803	7	0.944166
transcript-orf241	726	419.776	9	0.838066
transcript-cob	1194	886.485	3	0.132283
transcript-orf152a	459	165.503	2	0.472365
transcript-nad5	231	33.1816	2	2.35606
transcript-orf162	489	191.477	1	0.204144
transcript-orf187	564	260.963	6	0.898723
transcript-rps12-2	378	103.319	0	0
transcript-rps2-2	1452	1144.49	22	0.751391
transcript-nad7	143	51.8333	3	2.26238
transcript-orf284	855	548.144	4	0.285246
transcript-mat-r	2037	1729.49	3	0.0678044
transcript-rps3-2	74	25.9565	0	0
Os09t0508300-01	2067	1759.49	2420	53.763
Os03t0181550-00	1473	1165.49	107.895	3.61866
Os07t0593000-01	770	463.445	118	9.95262
Os04t0597700-01	1914	1606.49	0	0
Os06t0608300-02	2055	1747.49	1477.5	33.0498
Os06t0608300-01	3519	3211.49	619.871	7.54482
Os04t0618100-01	619	314.069	23	2.86257
Os06t0225600-01	889	581.96	20	1.34335
Os01t0873800-01	4471	4163.49	264	2.47856
Os06t0237950-00	761	454.514	61.7184	5.30788
Os12t0149700-01	1544	1236.49	365	11.5387
Os12t0141800-01	2251	1943.49	0	0
Os06t0492750-00	1481	1173.49	50.0128	1.66593
Os07t0544900-01	1121	813.485	940	45.1681
Os06t0662225-00	592	287.869	0	0
Os12t0510900-01	488	190.611	46	9.4333
Os03t0782300-01	1146	838.485	0	0
Os09t0427100-01	1358	1050.49	73	2.71635
Os05t0167600-01	1417	1109.49	154	5.42566
Os04t0452100-02	2884	2576.49	30.8363	0.46783
Os04t0452100-01	4628	4320.49	7.16371	0.0648125
Os08t0248000-00	609	304.349	1	0.128435
Os08t0471850-00	1168	860.485	0	0
Os07t0176600-01	2209	1901.49	5	0.102785
Os06t0230801-00	641	335.573	63	7.33848
Os01t0734100-01	842	535.158	539	39.3696
Os02t0607500-00	1746	1438.49	11	0.29891
Os01t0563000-01	1666	1358.49	1	0.0287739
Os01t0563000-04	2165	1857.49	0	0
Os01t0563000-03	924	616.778	0	0
Os01t0563000-05	1160	852.485	0	0
Os01t0563000-02	2287	1979.49	0	0
Os01t0563000-06	828	521.21	0	0
Os01t0973300-01	2914	2606.49	449	6.73356
Os01t0889800-01	1312	1004.49	46	1.79006
Os06t0635500-00	1034	726.485	4	0.215222
Os06t0303501-00	568	264.75	0	0
Os08t0260400-00	1139	831.485	1057	49.6905
Os03t0729000-01	1981	1673.49	5	0.116789
Os08t0538600-01	1718	1410.49	9183	254.489
Os10t0534700-01	2121	1813.49	1	0.0215546
Os12t0248600-01	579	275.315	3	0.425937
Os04t0659200-01	2487	2179.49	53	0.950551
Os09t0465800-01	747	440.603	862	76.4739
Os12t0128900-00	534	232.569	0	0
Os05t0433900-00	729	422.776	0	0
Os04t0569300-02	1273	965.485	0	0
Os04t0569300-01	1341	1033.49	173	6.54327
Os05t0400800-01	1311	1003.49	566.01	22.0479
Os05t0400800-02	820	513.223	833.99	63.5196
Os03t0226800-01	3558	3250.49	4	0.0481022
Os01t0878400-01	1760	1452.49	216.636	5.83004
Os08t0359050-00	606	301.394	1	0.129694
Os01t0544450-01	2811	2503.49	1309	20.4385
Os08t0549450-00	466	171.499	5.22867	1.19174
Os02t0749900-01	1389	1081.49	508	18.361
Os04t0570125-00	1358	1050.49	0	0
Os06t0528600-01	1591	1283.49	304	9.2584
Os02t0832400-01	2632	2324.49	0	0
Os02t0832400-02	2960	2652.49	217.883	3.21088
Os08t0162900-00	314	65.1408	0	0
