target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	13.5635	4	12.3409
transcript-cox1	1576	1283.85	35	1.14081
transcript-rps2	711	420.113	7	0.697255
transcript-petB	6	7	0	0
transcript-ndhB-2	777	485.767	0.886375	0.0763571
transcript-rpl36	114	47.5116	1	0.880764
transcript-rpoC1	2049	1756.85	10	0.238191
transcript-petE	114	47.5116	0	0
transcript-ndhB	777	485.767	0.886375	0.0763571
transcript-psbA	1062	769.851	1	0.0543566
transcript-psbC	1422	1129.85	7	0.25926
transcript-rps11	432	156.346	0	0
transcript-rps18	492	209.008	0	0
transcript-rps7-2	471	190.074	2	0.44032
transcript-ndhD	1503	1210.85	8	0.276477
transcript-psaC	246	38.1292	1	1.09749
transcript-atpA	1524	1231.85	17	0.577498
transcript-psbN	132	53.0179	0	0
transcript-ndhE	306	65.4751	0	0
transcript-rpl22	450	171.58	1	0.243889
transcript-rpl20	360	99.9137	0	0
transcript-rps15-2	273	48.9948	0	0
transcript-rps8	411	139.012	3	0.903081
transcript-rpl23-2	282	53.1343	1.5	1.18134
transcript-psbM	105	49	0	0
transcript-psbD	1062	769.851	1	0.0543566
transcript-rps15	273	48.9948	0	0
transcript-psbL	117	44.5306	0	0
transcript-ndhG	531	244.949	9	1.53754
transcript-atpI	744	452.884	3	0.2772
transcript-psbI	111	44.5116	1	0.940126
transcript-psaA	2253	1960.85	7	0.149387
transcript-rps12	114	47.5116	3	2.64229
transcript-psbH	222	29.9312	0	0
transcript-petD	8	9	0	0
transcript-rps19	282	53.1343	4	3.15025
transcript-rpoB	3228	2935.85	20	0.285073
transcript-psbE	252	40.4198	0	0
transcript-rpoC2	4542	4249.85	17	0.167392
transcript-rpoA	1014	721.851	3	0.173913
transcript-infA	324	75.8929	5	2.75695
transcript-rpl23	282	53.1343	1.5	1.18134
transcript-rp12	391	123.19	0.564321	0.191695
transcript-3-prime-rps12	232	33.1666	0	0
transcript-psaB	2205	1912.85	8	0.175012
transcript-ndhF	2205	1912.85	0	0
transcript-rpl14	372	108.742	3	1.15447
transcript-rpl16	9	10	0	0
transcript-atpF	145	37.5196	0	0
transcript-rps14	312	69.0179	0	0
transcript-ndhA	550	262.83	7	1.11451
transcript-psbB	1527	1234.85	1	0.0338879
transcript-psbK	186	19.6452	1	2.13011
transcript-atpH	246	38.1292	2	2.19499
transcript-petA	963	670.954	4	0.249475
transcript-rps7	471	190.074	2	0.44032
transcript-rps3	720	429.038	0	0
transcript-psbF	120	46.6	0	0
transcript-rpl2	391	123.19	0.564321	0.191695
transcript-rps16	40	21.1818	0	0
transcript-nad6	618	328.315	6	0.764751
transcript-orf490	1473	1180.85	1	0.0354376
transcript-orf224	675	384.435	14	1.52393
transcript-rps13	351	93.5913	3	1.34136
transcript-rpl2-2	840	548.493	5	0.381468
