target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	15.3814	0	0
transcript-cox1	1576	1279.48	40	1.20063
transcript-rps2	711	415.647	8	0.739178
transcript-petB	6	2.66667	0	0
transcript-ndhB-2	777	481.346	1	0.0797859
transcript-rpl36	114	57	0	0
transcript-rpoC1	2049	1752.48	15	0.328716
transcript-petE	114	57	0	0
transcript-ndhB	777	481.346	1	0.0797859
transcript-psbA	1062	765.482	2	0.100341
transcript-psbC	1422	1125.48	5	0.170614
transcript-rps11	432	152.879	0	0
transcript-rps18	492	204.479	0	0
transcript-rps7-2	471	185.7	0.5	0.103405
transcript-ndhD	1503	1206.48	6	0.190991
transcript-psaC	246	38.71	0	0
transcript-atpA	1524	1227.48	16	0.500597
transcript-psbN	132	58.2778	0	0
transcript-ndhE	306	65.6149	0	0
transcript-rpl22	450	167.756	0	0
transcript-rpl20	360	98.9171	0	0
transcript-rps15-2	273	49.6062	0	0
transcript-rps8	411	136.214	0	0
transcript-rpl23-2	282	53.6103	0	0
transcript-psbM	105	48	0	0
transcript-psbD	1062	765.482	2	0.100341
transcript-rps15	273	49.6062	0	0
transcript-psbL	117	57.2381	0	0
transcript-ndhG	531	240.251	2	0.319704
transcript-atpI	744	448.517	2	0.171252
transcript-psbI	111	54	1	0.711196
transcript-psaA	2253	1956.48	3	0.0588883
transcript-rps12	114	57	1	0.673765
transcript-psbH	222	31.0342	0	0
transcript-petD	8	4.66667	0	0
transcript-rps19	282	53.6103	4	2.86546
transcript-rpoB	3228	2931.48	12	0.157209
transcript-psbE	252	40.7296	0	0
transcript-rpoC2	4542	4245.48	26	0.235196
transcript-rpoA	1014	717.482	0	0
transcript-infA	324	75.9227	1	0.505838
transcript-rpl23	282	53.6103	0	0
transcript-rp12	391	120.889	1.56711	0.497845
transcript-3-prime-rps12	232	34.1515	0	0
transcript-psaB	2205	1908.48	7	0.140862
transcript-ndhF	2205	1908.48	3	0.0603694
transcript-rpl14	372	107.073	1	0.358678
transcript-rpl16	9	5.66667	0	0
transcript-atpF	145	42.6344	1	0.900789
transcript-rps14	312	69.0208	0	0
transcript-ndhA	550	258.106	1	0.148794
transcript-psbB	1527	1230.48	0	0
transcript-psbK	186	20.4545	0	0
transcript-atpH	246	38.71	0	0
transcript-petA	963	666.505	0	0
transcript-rps7	471	185.7	0.5	0.103405
transcript-rps3	720	424.618	0	0
transcript-psbF	120	54.0213	0	0
transcript-rpl2	391	120.889	1.56711	0.497845
transcript-rps16	40	22.2727	1	1.72429
transcript-nad6	618	323.682	8	0.949194
transcript-orf490	1473	1176.48	0	0
transcript-orf224	675	379.954	5	0.505385
