target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	14.8963	3	8.34133
transcript-cox1	1576	1280.07	35	1.13247
transcript-rps2	711	416.139	9	0.895771
transcript-petB	6	3.5	0	0
transcript-ndhB-2	777	481.828	0.5	0.0429804
transcript-rpl36	114	55.3	0	0
transcript-rpoC1	2049	1753.07	6	0.141757
transcript-petE	114	55.3	0	0
transcript-ndhB	777	481.828	0.5	0.0429804
transcript-psbA	1062	766.065	2	0.108133
transcript-psbC	1422	1126.07	5	0.183907
transcript-rps11	432	154.93	0	0
transcript-rps18	492	205.885	0	0
transcript-rps7-2	471	187.6	2.5	0.55195
transcript-ndhD	1503	1207.07	5	0.171566
transcript-psaC	246	38.9855	0	0
transcript-atpA	1524	1228.07	35	1.18043
transcript-psbN	132	56.0441	0	0
transcript-ndhE	306	67.6397	0	0
transcript-rpl22	450	169.815	2	0.487804
transcript-rpl20	360	101.267	0	0
transcript-rps15-2	273	50.3628	0.5	0.4112
transcript-rps8	411	138.403	0	0
transcript-rpl23-2	282	54.918	0	0
transcript-psbM	105	53.4091	0	0
transcript-psbD	1062	766.065	1	0.0540663
transcript-rps15	273	50.3628	0.5	0.4112
transcript-psbL	117	55.0755	0	0
transcript-ndhG	531	241.215	5	0.858536
transcript-atpI	744	448.944	2	0.184514
transcript-psbI	111	56.9348	1	0.72747
transcript-psaA	2253	1957.07	4	0.0846539
transcript-rps12	114	55.3	2	1.49795
transcript-psbH	222	30.6268	1	1.35236
transcript-petD	8	5.5	0	0
transcript-rps19	282	54.918	0	0
transcript-rpoB	3228	2932.07	24	0.339024
transcript-psbE	252	41.4641	0	0
transcript-rpoC2	4542	4246.07	17	0.165827
transcript-rpoA	1014	718.065	0	0
transcript-infA	324	78.1024	5	2.65154
transcript-rpl23	282	54.918	0	0
transcript-rp12	391	123.098	0.5	0.168233
transcript-3-prime-rps12	232	33.8181	0	0
transcript-psaB	2205	1909.07	11	0.238652
transcript-ndhF	2205	1909.07	1	0.0216956
transcript-rpl14	372	109.592	0	0
transcript-rpl16	9	4.66667	0	0
transcript-atpF	145	39.8115	0	0
transcript-rps14	312	71.0241	0	0
transcript-ndhA	550	258.872	5	0.799978
transcript-psbB	1527	1231.07	1	0.0336443
transcript-psbK	186	19.8465	4	8.34772
transcript-atpH	246	38.9855	1	1.0624
transcript-petA	963	667.134	3	0.186252
transcript-rps7	471	187.6	2.5	0.55195
transcript-rps3	720	425.075	0	0
transcript-psbF	120	58.0755	0	0
transcript-rpl2	391	123.098	0.5	0.168233
transcript-rps16	40	15.1667	1	2.73088
transcript-nad6	618	324.425	7	0.893668
transcript-orf490	1473	1177.07	0	0
transcript-orf224	675	380.437	6	0.653223
transcript-rps13	351	95.2628	3	1.30434
transcript-rpl2-2	840	544.649	4	0.304184
transcript-orf165	498	211.26	4	0.784216
transcript-atp9	225	31.5693	157	205.981
transcript-rps7-3	447	167.306	3	0.74268
transcript-cox2	388	120.966	3	1.02719
transcript-orf181	546	255.119	2	0.324699
transcript-atp1	1530	1234.07	56	1.8795
transcript-nad9	573	280.729	7	1.03277
transcript-orfB	468	185.124	4	0.894934
transcript-atp6	1005	709.065	22	1.28508
transcript-rps1	519	230.156	3	0.539873
transcript-nad3	468	185.124	15	3.356
transcript-orf161	486	200.611	0	0
transcript-ccmB	621	327.319	3	0.379615
transcript-nad4L	303	66.0751	2	1.25367
transcript-nad4	461	179.098	3	0.693782
transcript-orf258	777	481.828	0	0
transcript-orf173	522	232.848	40	7.11507
transcript-orf152b	459	177.419	1	0.23345
transcript-orf288	867	571.496	1	0.0724735
transcript-orfX	810	514.728	8	0.643732
transcript-orf153	462	179.979	4	0.920513
transcript-rps4	1059	763.065	5	0.271394
transcript-orf176	531	241.215	0	0
transcript-rps19-2	282	54.918	2	1.50837
transcript-ccmFc	749	453.944	7	0.638687
transcript-cox3	843	547.649	9	0.680664
transcript-ccmFn	1785	1489.07	3	0.0834449
transcript-orf160	483	198.072	3	0.627322
transcript-orf183	552	260.779	3	0.476475
transcript-nad1	386	119.569	4	1.38559
transcript-ccmC	723	428.054	7	0.677317
transcript-rpl5	567	274.988	23	3.46423
transcript-orf194	585	292.304	0	0
transcript-orf25	594	300.983	13	1.78893
transcript-orf241	726	431.033	13	1.24918
transcript-cob	1194	898.065	8	0.368956
transcript-orf152a	459	177.419	2	0.466899
transcript-nad5	231	33.4898	0	0
transcript-orf162	489	203.218	3	0.611436
transcript-orf187	564	272.181	5	0.760859
transcript-rps12-2	378	113.759	11	4.00497
transcript-rps2-2	1452	1156.07	19	0.680713
transcript-nad7	143	56.7195	11	8.03254
transcript-orf284	855	559.552	6	0.444123
transcript-mat-r	2037	1741.07	17	0.404414
transcript-rps3-2	74	35.5758	0	0
Os09t0508300-01	2067	1771.07	2166	50.6543
Os03t0181550-00	1473	1177.07	74.1579	2.60945
Os07t0593000-01	770	474.852	121	10.5541
Os04t0597700-01	1914	1618.07	0	0
Os06t0608300-02	2055	1759.07	1414.73	33.3107
Os06t0608300-01	3519	3223.07	953.27	12.2501
Os04t0618100-01	619	325.384	32	4.0733
Os06t0225600-01	889	593.452	15	1.04688
Os01t0873800-01	4471	4175.07	336	3.33325
Os06t0237950-00	761	465.887	67.6781	6.01672
Os12t0149700-01	1544	1248.07	151.74	5.03564
Os12t0141800-01	2251	1955.07	0	0
Os06t0492750-00	1481	1185.07	32.4123	1.13282
Os07t0544900-01	1121	825.065	1234	61.9469
Os06t0662225-00	592	299.013	0	0
Os12t0510900-01	488	202.344	54	11.0534
Os03t0782300-01	1146	850.065	0	0
Os09t0427100-01	1358	1062.07	62	2.41787
Os05t0167600-01	1417	1121.07	43	1.58866
Os04t0452100-02	2884	2588.07	23.3292	0.37335
Os04t0452100-01	4628	4332.07	4.67085	0.0446574
Os08t0248000-00	609	315.537	2	0.262526
Os08t0471850-00	1168	872.065	1.54304	0.0732859
Os07t0176600-01	2209	1913.07	0	0
Os06t0230801-00	641	346.898	48	5.73102
Os01t0734100-01	842	546.649	527	39.9296
Os02t0607500-00	1746	1450.07	26	0.74264
Os01t0563000-01	1666	1370.07	0	0
Os01t0563000-04	2165	1869.07	0	0
Os01t0563000-03	924	628.376	0.242946	0.0160133
Os01t0563000-05	1160	864.065	0	0
Os01t0563000-02	2287	1991.07	2.39879	0.0498999
Os01t0563000-06	828	532.662	0.35826	0.0278573
Os01t0973300-01	2914	2618.07	393	6.21734
Os01t0889800-01	1312	1016.07	75	3.05726
Os06t0635500-00	1034	738.065	0	0
Os06t0303501-00	568	275.953	0	0
Os08t0260400-00	1139	843.065	544	26.7258
Os03t0729000-01	1981	1685.07	8	0.196637
Os08t0538600-01	1718	1422.07	8234	239.819
Os10t0534700-01	2121	1825.07	0	0
Os12t0248600-01	579	286.479	2	0.289154
Os04t0659200-01	2487	2191.07	29	0.548195
Os09t0465800-01	747	451.944	854	78.2646
Os12t0128900-00	534	244.03	0	0
Os05t0433900-00	729	434.033	0	0
Os04t0569300-02	1273	977.065	0	0
Os04t0569300-01	1341	1045.07	55	2.17978
Os05t0400800-01	1311	1015.07	624.791	25.4937
Os05t0400800-02	820	524.689	593.209	46.8272
Os03t0226800-01	3558	3262.07	2	0.0253939
Os01t0878400-01	1760	1464.07	209	5.9126
Os08t0359050-00	606	312.576	1	0.132506
Os01t0544450-01	2811	2515.07	1358	22.3637
Os08t0549450-00	466	183.443	0	0
Os02t0749900-01	1389	1093.07	553	20.9542
Os04t0570125-00	1358	1062.07	0	0
Os06t0528600-01	1591	1295.07	143	4.57338
Os02t0832400-01	2632	2336.07	0	0
Os02t0832400-02	2960	2664.07	488.805	7.59946
Os08t0162900-00	314	72.1082	0	0
Os01t0810300-01	789	493.791	55.0129	4.61439
Os12t0124000-05	925	629.376	21	1.38198
Os12t0124000-01	937	641.281	1	0.0645869
Os12t0124000-03	1024	728.065	0	0
Os12t0124000-02	996	700.065	0	0
Os12t0124000-04	968	672.134	0	0
Os08t0265500-01	3643	3347.07	625	7.73407
Os04t0525900-01	1880	1584.07	2312	60.4515
Os09t0351800-00	627	333.161	0	0
Os05t0533450-00	978	682.1	5	0.303609
Os06t0488125-00	1855	1559.07	0	0
Os06t0520733-00	375	111.65	0	0
Os06t0102600-01	898	602.452	26.5104	1.82258
Os06t0707400-02	2025	1729.07	7.41158	0.177538
Os06t0707400-01	2693	2397.07	3.58842	0.0620035
Os07t0546200-01	687	392.33	1	0.10557
Os03t0744650-00	1565	1269.07	938	30.6134
Os12t0190000-01	2086	1790.07	4416.55	102.19
Os12t0190000-02	1292	996.065	1673.45	69.5855
Os06t0141133-00	1399	1103.07	0	0
Os01t0855700-01	2125	1829.07	12.8501	0.290983
Os08t0543500-01	3880	3584.07	7	0.0808937
Os08t0485600-04	1933	1637.07	121.314	3.06928
Os08t0485600-03	1157	861.065	14.6448	0.704431
Os08t0485600-01	3970	3674.07	288.588	3.2533
Os08t0485600-02	2676	2380.07	394.453	6.86435
Os02t0298100-01	3630	3334.07	412	5.11818
Os01t0932500-01	2410	2114.07	0	0
Os09t0494200-01	1648	1352.07	61.6429	1.88833
Os09t0494200-02	1453	1157.07	305.357	10.9306
Os01t0923000-01	735	440	710	66.8341
Os09t0347900-01	1691	1395.07	55	1.6329
Os02t0671400-02	460	178.296	15	3.48451
Os02t0671400-03	499	212.134	9.80516	1.91442
Os02t0671400-01	3869	3573.07	279.195	3.23638
Os12t0568500-01	506	218.326	0	0
Os09t0521100-01	1492	1196.07	7	0.242402
Os05t0592350-00	553	261.68	6.02341	0.953375
Os12t0637000-00	1389	1093.07	16	0.60627
Os06t0225100-01	1698	1402.07	139	4.10619
Os07t0432100-00	315	72.7117	0	0
Os06t0522100-00	399	129.154	0	0
Os03t0142900-01	2129	1833.07	1293	29.2155
Os06t0571800-01	983	687.1	0	0
Os06t0571800-03	1782	1486.07	98	2.73137
Os06t0571800-02	1633	1337.07	0	0
Os04t0127800-01	3214	2918.07	136.988	1.94437
Os02t0119400-01	1049	753.065	776	42.6797
Os06t0251700-01	2760	2464.07	2151	36.156
Os03t0744200-01	979	683.1	126.801	7.6883
Os04t0632750-00	2140	1844.07	0	0
Os09t0482100-01	2409	2113.07	43208.3	846.928
Os10t0108700-01	1504	1208.07	0	0
Os10t0108700-02	1448	1152.07	0	0
Os05t0127200-01	2374	2078.07	0	0
Os05t0127200-02	2217	1921.07	38	0.819283
Os11t0594700-00	498	211.26	14	2.74476
Os07t0120300-00	429	152.504	57	15.4806
Os04t0121300-00	2190	1894.07	0	0
Os06t0731800-01	1301	1005.07	2375.74	97.9032
