target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	15.3149	1	2.39518
transcript-cox1	1576	1267.63	24	0.694498
transcript-rps2	711	403.709	2	0.181725
transcript-petB	6	7	0	0
transcript-ndhB-2	777	469.288	0	0
transcript-rpl36	114	53.9394	0	0
transcript-rpoC1	2049	1740.63	11	0.231814
transcript-petE	114	53.9394	0	0
transcript-ndhB	777	469.288	0	0
transcript-psbA	1062	753.632	3	0.146021
transcript-psbC	1422	1113.63	4	0.131756
transcript-rps11	432	143.049	0	0
transcript-rps18	492	193.112	0	0
transcript-rps7-2	471	175.017	0	0
transcript-ndhD	1503	1194.63	8	0.245646
transcript-psaC	246	37.8036	0	0
transcript-atpA	1524	1215.63	12	0.362103
transcript-psbN	132	61.05	0	0
transcript-ndhE	306	62.213	0	0
transcript-rpl22	450	157.329	0	0
transcript-rpl20	360	92.4255	0	0
transcript-rps15-2	273	47.4735	0	0
transcript-rps8	411	127.258	0	0
transcript-rpl23-2	282	51.1352	0	0
transcript-psbM	105	48.0645	0	0
transcript-psbD	1062	753.632	1	0.0486736
transcript-rps15	273	47.4735	0	0
transcript-psbL	117	55.3529	0	0
transcript-ndhG	531	228.267	1	0.160698
transcript-atpI	744	436.469	0	0
transcript-psbI	111	52.5312	2	1.39658
transcript-psaA	2253	1944.63	3	0.0565896
transcript-rps12	114	53.9394	1	0.68006
transcript-psbH	222	30.3222	0	0
transcript-petD	8	9	0	0
transcript-rps19	282	51.1352	1	0.717354
transcript-rpoB	3228	2919.63	17	0.213587
transcript-psbE	252	39.9188	0	0
transcript-rpoC2	4542	4233.63	23	0.199282
transcript-rpoA	1014	705.632	0	0
transcript-infA	324	71.3559	0	0
transcript-rpl23	282	51.1352	0	0
transcript-rp12	391	112.95	0	0
transcript-3-prime-rps12	232	33.4234	0	0
transcript-psaB	2205	1896.63	5	0.096703
transcript-ndhF	2205	1896.63	1	0.0193406
transcript-rpl14	372	100.031	0	0
transcript-rpl16	9	1	0	0
transcript-atpF	145	44.8235	0	0
transcript-rps14	312	65.124	0	0
transcript-ndhA	550	246.161	0	0
transcript-psbB	1527	1218.63	1	0.030101
transcript-psbK	186	20.3558	0	0
transcript-atpH	246	37.8036	3	2.91099
transcript-petA	963	654.7	1	0.0560288
