target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	16.9952	2	4.45572
transcript-cox1	1576	1270.94	32	0.953323
transcript-rps2	711	407.138	3	0.278994
transcript-petB	6	7	0	0
transcript-ndhB-2	777	472.873	0	0
transcript-rpl36	114	52.9167	0	0
transcript-rpoC1	2049	1743.94	14	0.303957
transcript-petE	114	52.9167	0	0
transcript-ndhB	777	472.873	0	0
transcript-psbA	1062	756.941	2	0.100042
transcript-psbC	1422	1116.94	2	0.0677977
transcript-rps11	432	146.127	0	0
transcript-rps18	492	196.797	0	0
transcript-rps7-2	471	178.442	0.5	0.106094
transcript-ndhD	1503	1197.94	8	0.252854
transcript-psaC	246	35.8986	0	0
transcript-atpA	1524	1218.94	19	0.590182
transcript-psbN	132	52.7	0	0
transcript-ndhE	306	61.1107	0	0
transcript-rpl22	450	160.789	0	0
transcript-rpl20	360	92.8304	1	0.407873
transcript-rps15-2	273	46.1323	0	0
transcript-rps8	411	129.475	1	0.292434
transcript-rpl23-2	282	49.8528	0	0
transcript-psbM	105	49.5625	0	0
transcript-psbD	1062	756.941	0	0
transcript-rps15	273	46.1323	0	0
transcript-psbL	117	55.9167	0	0
transcript-ndhG	531	231.968	1	0.163226
transcript-atpI	744	440.01	2	0.172101
transcript-psbI	111	49.9167	0	0
transcript-psaA	2253	1947.94	3	0.0583124
transcript-rps12	114	52.9167	1	0.715522
transcript-psbH	222	29.3157	0	0
transcript-petD	8	9	0	0
transcript-rps19	282	49.8528	1	0.759497
transcript-rpoB	3228	2922.94	23	0.297936
transcript-psbE	252	38.0008	0	0
transcript-rpoC2	4542	4236.94	26	0.232347
transcript-rpoA	1014	708.941	1	0.0534079
transcript-infA	324	70.7848	2	1.06981
transcript-rpl23	282	49.8528	0	0
transcript-rp12	391	114.54	1.5	0.495849
transcript-3-prime-rps12	232	31.9117	0	0
transcript-psaB	2205	1899.94	4	0.0797141
transcript-ndhF	2205	1899.94	2	0.0398571
transcript-rpl14	372	100.848	0	0
transcript-rpl16	9	1	0	0
transcript-atpF	145	46.7222	0	0
transcript-rps14	312	64.3577	0	0
transcript-ndhA	550	249.763	4	0.606383
transcript-psbB	1527	1221.94	0	0
transcript-psbK	186	20.0291	0	0
transcript-atpH	246	35.8986	1	1.05472
transcript-petA	963	658.099	2	0.115068
transcript-rps7	471	178.442	0.5	0.106094
