target_id	length	eff_length	est_counts	tpm
transcript-nad2	161	14.0099	1	2.74287
transcript-cox1	1576	1277.21	37	1.11321
transcript-rps2	711	413.4	7	0.650681
transcript-petB	6	1	0	0
transcript-ndhB-2	777	479.044	0	0
transcript-rpl36	114	44.4737	0	0
transcript-rpoC1	2049	1750.21	18	0.395204
transcript-petE	114	44.4737	0	0
transcript-ndhB	777	479.044	0	0
transcript-psbA	1062	763.215	1	0.0503493
transcript-psbC	1422	1123.21	6	0.205272
transcript-rps11	432	152.517	0	0
transcript-rps18	492	203.041	0	0
transcript-rps7-2	471	184.855	0	0
transcript-ndhD	1503	1204.21	10	0.319107
transcript-psaC	246	38.7223	0	0
transcript-atpA	1524	1225.21	14	0.439093
transcript-psbN	132	52.1064	0	0
transcript-ndhE	306	65.8578	0	0
transcript-rpl22	450	167.285	0	0
transcript-rpl20	360	99.45	0	0
transcript-rps15-2	273	49.1455	0	0
transcript-rps8	411	136.408	0	0
transcript-rpl23-2	282	53.2921	0.5	0.360535
transcript-psbM	105	36.5405	0	0
transcript-psbD	1062	763.215	0	0
transcript-rps15	273	49.1455	0	0
transcript-psbL	117	46.2821	1	0.830286
transcript-ndhG	531	238.439	0	0
transcript-atpI	744	446.213	2	0.172238
transcript-psbI	111	41.4737	1	0.926548
transcript-psaA	2253	1954.21	0	0
transcript-rps12	114	44.4737	1	0.864047
transcript-psbH	222	30.7802	0	0
transcript-petD	8	3	0	0
transcript-rps19	282	53.2921	2	1.44214
transcript-rpoB	3228	2929.21	14	0.183661
transcript-psbE	252	40.8636	0	0
transcript-rpoC2	4542	4243.21	24	0.217348
transcript-rpoA	1014	715.215	2	0.107457
transcript-infA	324	76.415	3	1.50863
transcript-rpl23	282	53.2921	0.5	0.360535
transcript-rp12	391	121.342	0.5	0.158343
transcript-3-prime-rps12	232	33.7315	0	0
transcript-psaB	2205	1906.21	3	0.0604769
transcript-ndhF	2205	1906.21	1	0.020159
transcript-rpl14	372	107.754	1	0.35662
transcript-rpl16	9	4	0	0
transcript-atpF	145	38.1951	1	1.00608
transcript-rps14	312	69.2299	1	0.555069
transcript-ndhA	550	256.281	2	0.299884
transcript-psbB	1527	1228.21	1	0.0312872
transcript-psbK	186	20.0329	0	0
transcript-atpH	246	38.7223	1	0.992383
transcript-petA	963	664.328	0	0
transcript-rps7	471	184.855	0	0
transcript-rps3	720	422.33	1	0.090989
transcript-psbF	120	47.0244	0	0
transcript-rpl2	391	121.342	0.5	0.158343
transcript-rps16	40	13.75	0	0
transcript-nad6	618	321.625	10	1.19479
transcript-orf490	1473	1174.21	0	0
transcript-orf224	675	377.72	10	1.01735
transcript-rps13	351	93.4177	0	0
transcript-rpl2-2	840	541.819	6	0.425537
transcript-orf165	498	208.435	0	0
transcript-atp9	225	31.6006	116	141.06
transcript-rps7-3	447	164.768	3	0.699665
transcript-cox2	388	119.082	3	0.968091
transcript-orf181	546	252.446	1	0.15222
transcript-atp1	1530	1231.21	54	1.68539
transcript-nad9	573	278.152	23	3.17751
transcript-orfB	468	182.347	2	0.421475
transcript-atp6	1005	706.215	16	0.87061
transcript-rps1	519	227.345	2	0.338053
transcript-nad3	468	182.347	3	0.632212
transcript-orf161	486	197.842	0	0
transcript-ccmB	621	324.549	5	0.592011
transcript-nad4L	303	64.208	1	0.598482
transcript-nad4	461	176.496	1	0.217723
transcript-orf258	777	479.044	0	0
transcript-orf173	522	230.126	33	5.51048
transcript-orf152b	459	174.79	0	0
transcript-orf288	867	568.781	1	0.0675609
transcript-orfX	810	511.943	4	0.300247
transcript-orf153	462	177.327	0	0
transcript-rps4	1059	760.215	2	0.101096
transcript-orf176	531	238.439	0	0
transcript-rps19-2	282	53.2921	1	0.72107
transcript-ccmFc	749	451.168	2	0.170346
transcript-cox3	843	544.819	9	0.634791
transcript-ccmFn	1785	1486.21	3	0.0775676
transcript-orf160	483	195.219	2	0.393684
transcript-orf183	552	258.168	6	0.893078
transcript-nad1	386	117.636	8	2.61331
transcript-ccmC	723	425.33	2	0.180694
transcript-rpl5	567	272.403	14	1.97495
transcript-orf194	585	289.672	0	0
transcript-orf25	594	298.304	4	0.515278
transcript-orf241	726	428.301	2	0.179441
transcript-cob	1194	895.215	5	0.214626
transcript-orf152a	459	174.79	4	0.879396
transcript-nad5	231	33.4887	1	1.14747
transcript-orf162	489	200.433	0	0
transcript-orf187	564	269.55	5	0.712806
transcript-rps12-2	378	112.025	3	1.02908
transcript-rps2-2	1452	1153.21	19	0.633117
transcript-nad7	143	53.4464	4	2.87595
transcript-orf284	855	556.8	4	0.276058
transcript-mat-r	2037	1738.21	17	0.375825
transcript-rps3-2	74	28.8889	0	0
Os09t0508300-01	2067	1768.21	2406	52.2879
Os03t0181550-00	1473	1174.21	136.889	4.47983
Os07t0593000-01	770	472.059	201	16.3621
Os04t0597700-01	1914	1615.21	1.39825	0.0332656
Os06t0608300-02	2055	1756.21	1379.29	30.18
Os06t0608300-01	3519	3220.21	503.708	6.01083
Os04t0618100-01	619	322.604	15	1.78674
Os06t0225600-01	889	590.684	12	0.780668
Os01t0873800-01	4471	4172.21	166	1.52891
Os06t0237950-00	761	463.091	70.8557	5.87962
Os12t0149700-01	1544	1245.21	319	9.84435
Os12t0141800-01	2251	1952.21	1	0.019684
Os06t0492750-00	1481	1182.21	44.0971	1.43336
Os07t0544900-01	1121	822.215	939	43.8855
Os06t0662225-00	592	296.394	0	0
Os12t0510900-01	488	199.614	39	7.50781
Os03t0782300-01	1146	847.215	0	0
Os09t0427100-01	1358	1059.21	64	2.32186
Os05t0167600-01	1417	1118.21	94	3.2303
Os04t0452100-02	2884	2585.21	21	0.31215
Os04t0452100-01	4628	4329.21	0	0
Os08t0248000-00	609	312.892	4	0.491254
Os08t0471850-00	1168	869.215	0	0
Os07t0176600-01	2209	1910.21	1	0.0201168
Os06t0230801-00	641	344.178	49	5.47083
Os01t0734100-01	842	543.819	570	40.2774
Os02t0607500-00	1746	1447.21	6	0.159316
Os01t0563000-01	1666	1367.21	0	0
Os01t0563000-04	2165	1866.21	2.62557	0.0540633
Os01t0563000-03	924	625.522	2.11996	0.130234
Os01t0563000-05	1160	861.215	0	0
Os01t0563000-02	2287	1988.21	0	0
Os01t0563000-06	828	529.908	0.254474	0.0184536
Os01t0973300-01	2914	2615.21	286	4.20242
Os01t0889800-01	1312	1013.21	41	1.55497
Os06t0635500-00	1034	735.215	0	0
Os06t0303501-00	568	273.348	0	0
Os08t0260400-00	1139	840.215	1072	49.0281
Os03t0729000-01	1981	1682.21	4	0.0913732
Os08t0538600-01	1718	1419.21	7920	214.446
Os10t0534700-01	2121	1822.21	0	0
Os12t0248600-01	579	283.924	6	0.812064
Os04t0659200-01	2487	2188.21	45	0.790247
Os09t0465800-01	747	449.168	1025	87.6912
Os12t0128900-00	534	241.259	0	0
Os05t0433900-00	729	431.301	0	0
Os04t0569300-02	1273	974.215	67.3666	2.65724
Os04t0569300-01	1341	1042.21	76.6334	2.82554
Os05t0400800-01	1311	1012.21	443.92	16.8528
Os05t0400800-02	820	521.926	687.08	50.587
Os03t0226800-01	3558	3259.21	4	0.0471615
Os01t0878400-01	1760	1461.21	248.671	6.53961
Os08t0359050-00	606	309.955	0	0
Os01t0544450-01	2811	2512.21	1086	16.6117
Os08t0549450-00	466	180.738	2.08201	0.442664
Os02t0749900-01	1389	1090.21	660	23.2634
Os04t0570125-00	1358	1059.21	0	0
Os06t0528600-01	1591	1292.21	216	6.42332
Os02t0832400-01	2632	2333.21	0	0
Os02t0832400-02	2960	2661.21	212	3.06123
Os08t0162900-00	314	70.3447	0	0
Os01t0810300-01	789	491.011	77	6.02615
Os12t0124000-05	925	626.501	6	0.368019
Os12t0124000-01	937	638.438	0	0
Os12t0124000-03	1024	725.215	0	0
Os12t0124000-02	996	697.215	0	0
Os12t0124000-04	968	669.328	0	0
Os08t0265500-01	3643	3344.21	498	5.72237
Os04t0525900-01	1880	1581.21	1607	39.054
Os09t0351800-00	627	330.395	0	0
Os05t0533450-00	978	679.283	6	0.339422
Os06t0488125-00	1855	1556.21	0	0
Os06t0520733-00	375	109.892	0	0
Os06t0102600-01	898	599.604	26.912	1.72473
Os06t0707400-02	2025	1726.21	3	0.0667831
Os06t0707400-01	2693	2394.21	0	0
Os07t0546200-01	687	389.642	2	0.197244
Os03t0744650-00	1565	1266.21	656	19.9084
Os12t0190000-01	2086	1787.21	2743.85	58.9961
Os12t0190000-02	1292	993.215	1582.15	61.2133
Os06t0141133-00	1399	1100.21	0	0
Os01t0855700-01	2125	1826.21	15.9355	0.335317
Os08t0543500-01	3880	3581.21	33	0.354098
Os08t0485600-04	1933	1634.21	74.7222	1.75704
Os08t0485600-03	1157	858.215	0	0
Os08t0485600-01	3970	3671.21	240.739	2.51986
Os08t0485600-02	2676	2377.21	367.539	5.94121
Os02t0298100-01	3630	3331.21	352	4.06051
Os01t0932500-01	2410	2111.21	0	0
Os09t0494200-01	1648	1349.21	118.658	3.37952
Os09t0494200-02	1453	1154.21	316.342	10.532
Os01t0923000-01	735	437.272	1038	91.2192
Os09t0347900-01	1691	1392.21	49	1.35248
Os02t0671400-02	460	175.634	16.1965	3.54367
Os02t0671400-03	499	209.319	9.71138	1.78284
Os02t0671400-01	3869	3570.21	221.092	2.37968
Os12t0568500-01	506	215.653	1	0.178191
Os09t0521100-01	1492	1193.21	9	0.289844
Os05t0592350-00	553	259.141	1.44659	0.214511
Os12t0637000-00	1389	1090.21	56	1.97386
Os06t0225100-01	1698	1399.21	120	3.29562
Os07t0432100-00	315	70.9506	0	0
Os06t0522100-00	399	127.278	0	0
Os03t0142900-01	2129	1830.21	1418	29.7725
Os06t0571800-01	983	684.238	0	0
Os06t0571800-03	1782	1483.21	100	2.59081
Os06t0571800-02	1633	1334.21	0	0
Os04t0127800-01	3214	2915.21	135.989	1.79255
Os02t0119400-01	1049	750.215	629	32.2185
Os06t0251700-01	2760	2461.21	1358.95	21.2175
Os03t0744200-01	979	680.261	233.384	13.1837
Os04t0632750-00	2140	1841.21	0	0
Os09t0482100-01	2409	2110.21	55119.1	1003.73
Os10t0108700-01	1504	1205.21	0	0
Os10t0108700-02	1448	1149.21	0	0
Os05t0127200-01	2374	2075.21	0	0
Os05t0127200-02	2217	1918.21	62	1.24204
Os11t0594700-00	498	208.435	22	4.05595
Os07t0120300-00	429	150.21	59	15.0936
Os04t0121300-00	2190	1891.21	0	0
Os06t0731800-01	1301	1002.21	2491.86	95.5439
Os04t0615500-01	2440	2141.21	239	4.28922
Os01t0606200-00	288	56.3949	6	4.08838
Os01t0647700-01	2521	2222.21	412	7.12445
Os04t0280251-00	3147	2848.21	2.57277	0.0347111
Os05t0451100-01	2070	1771.21	1529.88	33.1915
Os04t0516200-01	986	687.238	0	0
Os03t0799300-01	671	373.795	0	0
Os08t0556300-01	809	510.943	38	2.85793
Os02t0128800-03	937	638.438	48.3088	2.90769
Os02t0128800-01	1375	1076.21	162.609	5.80614
Os02t0128800-02	1337	1038.21	850.082	31.464
Os06t0298700-00	1158	859.215	0	0
Os04t0572100-01	1879	1580.21	10	0.243178
Os10t0558400-00	1194	895.215	0	0
Os01t0816400-01	1379	1080.21	0	0
Os01t0816400-02	6579	6280.21	2417	14.7891
Os09t0569700-01	1502	1203.21	94	3.0021
Os01t0848475-00	1973	1674.21	23.945	0.549597
Os04t0481050-01	2877	2578.21	24.0376	0.358272
Os01t0688200-01	1296	997.215	287	11.0595
Os08t0324600-00	825	526.908	16	1.16688
Os05t0237100-01	997	698.215	225	12.3832
Os04t0613500-00	315	70.9506	0	0
Os02t0177800-02	2273	1974.21	1138.78	22.166
Os02t0177800-01	1378	1079.21	2.21744	0.0789559
Os02t0571300-01	2887	2588.21	0	0
Os09t0524300-00	1961	1662.21	0	0
Os06t0176000-01	1077	778.215	231.655	11.4389
Os09t0409000-01	977	678.283	9	0.509884
Os02t0106966-00	847	548.819	23	1.61042
Os12t0180600-00	1983	1684.21	0	0
Os04t0510200-01	1515	1216.21	381	12.038
Os01t0596600-00	1188	889.215	0	0
Os12t0534200-01	823	524.908	209	15.3004
Os11t0596000-00	6336	6037.21	0	0
Os12t0609600-01	1092	793.215	0	0
Os02t0698100-01	1484	1185.21	158	5.12272
Os03t0780600-02	397	125.754	44.3321	13.5468
Os03t0780600-01	1738	1439.21	1682.07	44.9115
Os02t0208675-00	1209	910.215	61	2.57529
Os05t0465400-01	1096	797.215	7	0.337414
Os11t0528300-01	835	536.837	1043	74.659
Os03t0793950-00	474	187.417	0	0
